,Unnamed: 0_x,type,ext_id,attributes.name,attributes.bundleId,attributes.sku,attributes.primaryLocale,Unnamed: 0_y,count_reviews,created,store,app.genre,app.title,app.artist_name,app.version,app.country,app.release_date,app.id,app.has_iap,app.icon
24,24,apps,1311530917,"Water Games 3rd,4th Grade Math",skidos.waterhero,000050,en-US,21.0,3.0,2021-01-04 15:09:06,itunes,Education,"Water Games 3rd,4th Grade Math",Skidos Learning,2.6,us,2019-06-28,430308.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple113/v4/cf/e1/47/cfe147ee-b96a-9e52-6ec7-8f008f8e6790/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-9.png/53x53bb.png
25,25,apps,1311555637,Elementary Mental Math Games,skidos.fuelmyparty,000051,en-US,13.0,9.0,2019-10-16 16:16:07,itunes,Education,Elementary Mental Math Games,Skidos Learning,7.1,us,2020-09-29,430159.0,1.0,https://is2-ssl.mzstatic.com/image/thumb/Purple124/v4/21/2d/ac/212dace5-6c56-1320-081c-3f950f96067b/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
26,26,apps,1319262047,Not in USE Sleepy Elephant,skidos.sleepyelephant,000054,en-US,,,,,,,,,,,,,
27,27,apps,1319262120,Cool Math Games : Kids Racing,skidos.bikeracing,000053,en-US,5.0,184.0,2019-03-01 01:01:53,itunes,Education,Cool Math Games : Kids Racing,Skidos Learning,5.2,us,2020-12-15,385829.0,1.0,https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/af/47/0b/af470b7b-9aab-557b-8de0-2810de935fd7/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
28,28,apps,1319857156,Fly Kids: Multiplication Games,skidos.penguinflyer,000056,en-US,24.0,2.0,2021-01-06 15:01:03,itunes,Education,Fly Kids: Multiplication Games,Skidos Learning,1.4,us,2019-07-04,430316.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple123/v4/a7/9b/19/a79b194a-0641-b708-d58b-d1de6c0644ec/AppIcon-0-1x_U007emarketing-0-0-GLES2_U002c0-512MB-sRGB-0-0-0-85-220-0-0-0-9.png/53x53bb.png
29,29,apps,1319857240,Wild west fish:Educational Fun,skidos.chilihunt,000055,en-US,26.0,4.0,2021-01-06 14:57:12,itunes,Education,Chili Hunt : Educational Games,Skidos Learning,2.0,us,2018-10-20,430322.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple128/v4/fd/70/23/fd70238c-1bf5-d446-2cb5-ecc772f3f16f/AppIcon-1x_U007emarketing-85-220-6.png/53x53bb.png
30,30,apps,1319880202,Birds Games : Elementary Math,skidos.tiltedbirds,000058,en-US,,,,,,,,,,,,,
31,31,apps,1326860594,Run: Fun Math Games CoolMath,skidos.runners,000057,en-US,16.0,35.0,2019-03-14 19:05:05,itunes,Games,Run: Fun Math Games CoolMath,Skidos Learning,3.3.(1),us,2020-06-22,430296.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/d2/d5/7f/d2d57ff7-ef4d-20f2-4ca6-41ebc792ca1a/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
32,32,apps,1335962714,Flower Math Fun Games For Kids,skidos.flowermatch,000060,en-US,,,,,,,,,,,,,
33,33,apps,1335963916,Math Games: 1st-4th Grade Kids,skidos.streetsoccer,000061,en-US,8.0,42.0,2019-03-02 22:27:04,itunes,Education,Math Games: 1st-4th Grade Kids,Skidos Learning,3.5,us,2020-12-19,423712.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/ca/a9/7e/caa97ed3-fd3c-6792-eef5-c2e4c4763d35/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
34,34,apps,1335964217,"First,Second,Third Grade Games",skidos.axeman,000062,en-US,25.0,7.0,2019-03-14 19:05:19,itunes,Education,"First,Second,Third Grade Games",Skidos Learning,4.5,us,2020-10-17,430320.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple124/v4/32/62/51/32625173-2023-97ad-e573-5e151dcc90de/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
35,35,apps,1335964262,Reflex Games: Operation Math,skidos.pirates,000064,en-US,22.0,13.0,2019-06-06 20:17:09,itunes,Education,Reflex Games: Operation Math,Skidos Learning,4.7,us,2020-10-22,430310.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/c4/d4/66/c4d466bd-f03b-3021-135e-e92ef2ea30bf/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
36,36,apps,1335964342,My Math Facts Flash Cards Kids,skidos.boyonthewhale,000063,en-US,27.0,7.0,2020-10-06 11:20:48,itunes,Education,My Math Facts Flash Cards Kids,Skidos Learning,6.2,us,2020-10-15,430324.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/e4/e9/13/e4e9131b-162e-90d9-9c35-b8c368a18a59/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
37,37,apps,1336999554,SKIDOS Chunky Cat Math Games,skidos.chunkycat,000065,en-US,,,,,,,,,,,,,
38,38,apps,1342172701,SKIDOS Diamond Friends kids,skidos.diamondfriends,000066,en-US,,,,,,,,,,,,,
39,39,apps,1353780893,Skidos R C,skidos.racecars,640000,en-US,,,,,,,,,,,,,
40,40,apps,1355644438,"Cool Math Games For Girls,Boys",skidos.racecars1,000068,en-US,4.0,108.0,2019-03-02 22:21:41,itunes,Education,"Cool Math Games For Girls,Boys",Skidos Learning,4.8,us,2021-01-19,385810.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/2e/b2/32/2eb232bd-2156-8d9c-00bf-ed5ee1c7ffe5/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
41,41,apps,1362671144,Kids Games: My Math Fun Train,skidos.train,000069,en-US,12.0,6.0,2019-03-14 19:05:11,itunes,Education,Kids Games: My Math Fun Train,Skidos Learning,9.5(7),us,2020-12-16,429616.0,1.0,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/c6/b7/f0/c6b7f0f5-c8f9-9561-df10-2d3832b51c8c/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
42,42,apps,1420405518,ABC Kids Spelling City Games,skidos.town,000070,en-US,11.0,15.0,2019-03-14 19:05:15,itunes,Education,ABC Kids Spelling City Games,Skidos Learning,6.0,us,2019-12-23,428329.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/b0/ba/a5/b0baa52a-ef3e-5ee9-7301-87f29ad275f6/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
43,43,apps,1421120099,Alphabet Kids Learning Games,skidos.fishing,000071,en-US,28.0,7.0,2020-05-29 12:19:07,itunes,Education,Alphabet Kids Learning Games,Skidos Learning,4.1,us,2020-09-25,430326.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/44/f8/80/44f880bc-b86b-4db3-3c7e-83c0aa6b22c8/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
44,44,apps,1433884418,Math Games: 1st 2nd 3rd Grade,skidos.colorfriends,000073,en-US,18.0,17.0,2019-03-14 19:05:08,itunes,Education,Math Games: 1st 2nd 3rd Grade,Skidos Learning,13.5(1),us,2020-09-10,430300.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/a8/c9/45/a8c945e2-7621-674b-0ec2-429cee9801fc/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
45,45,apps,1435136336,Mix Animals,skidos.animalmix,000074,en-US,,,,,,,,,,,,,
46,46,apps,1444879512,"Math Games for Kids,Boys,Girls",skidos.birdrun,000076,en-US,10.0,3.0,2019-10-16 08:49:29,itunes,Education,"Math Games for Kids,Boys,Girls",Skidos Learning,6.2,us,2020-11-07,426297.0,1.0,https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/b6/df/58/b6df58fe-646d-4969-3545-8460da06806f/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
47,47,apps,1463178155,Not in Use Elephant,skidos.cool.math.games.2nd.3rd.4th.grades,000087,en-US,,,,,,,,,,,,,
48,48,apps,1463179487,Not Used Hungry Cat,skidos.kids.math.games.addition.subtraction,000088,en-US,,,,,,,,,,,,,
49,49,apps,1463530370,Not USED Math Elephant,skidos.elephant.cool.math.games.2nd.3rd.4th.grades,000081,en-US,,,,,,,,,,,,,
50,50,apps,1463532071,Kids Learning Games: 6-9 Years,skidos.hungrycat.kids.math.games.addition.subtraction,000082,en-US,33.0,17.0,2019-07-11 12:05:15,itunes,Games,Kids Learning Games: 6-9 Years,Skidos Learning,2.5,us,2020-10-02,502677.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/b2/63/7b/b2637bd7-4e0f-d560-beff-723f7105e1cd/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
51,51,apps,1465695498,Elephant Math Games for Kids,skidos.elephant.cool.math.games.second.third.fourth.grades,000083,en-US,32.0,7.0,2020-05-29 12:19:26,itunes,Education,Elephant Math Games for Kids,Skidos Learning,1.7(1),us,2021-02-15,496677.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple124/v4/6b/b9/1d/6bb91d05-1623-5661-04c9-f635b8fe53f8/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
52,52,apps,1494699802,Math Jump: Kids Splash Games,skidos.arcade.kids.math.games,000085,en-US,38.0,2.0,2020-03-10 12:50:47,itunes,Education,Math Jump: Kids Splash Games,Skidos Learning,1.7,us,2020-09-21,700814.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/87/0d/d8/870dd8fe-be59-a458-97b4-a0d7914645ff/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
53,53,apps,1495346509,Educational Games: For Kids,skidos.cliff.kids.learning.games,000086,en-US,37.0,1.0,2020-03-09 14:45:32,itunes,Education,Educational Games: For Kids,Skidos Learning,1.6,us,2020-09-19,699805.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/70/a1/5a/70a15a43-2727-318e-a7f2-96a3eea3096a/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
54,54,apps,1501815165,Kids Toddlers Coloring Game,skidos.toddler.kid.coloring.game,000090,en-US,,,,,,,,,,,,,
55,55,apps,1506168813,Toddler Pre-K Learning Games,skidos.toddler.kid.forest.game,000091,en-US,40.0,4.0,2020-05-04 11:02:21,itunes,Education,Toddler Pre-K Learning Games,Skidos Learning,1.4,us,2020-10-07,750141.0,1.0,https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/02/69/e4/0269e485-9808-37ec-c1b9-cb2cd694ca97/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
56,56,apps,1508131976,Animal Coloring for Toddlers,skidos.toddlers.coloring.games,000093,en-US,41.0,3.0,2020-05-19 10:23:29,itunes,Education,Animal Coloring for Toddlers,Skidos Learning,1.6,us,2020-10-02,767263.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/7d/99/8c/7d998c31-c17b-aa68-55b5-94382a72ae04/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
57,57,apps,1508132149,Coloring Art Book for Kids,skidos.preschool.kids.coloring.books.games,000094,en-US,42.0,6.0,2020-05-27 10:59:58,itunes,Education,Coloring Art Book for Kids,Skidos Learning,1.6,us,2021-01-06,774274.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/f5/a7/20/f5a720f2-e868-be4f-8533-3bc89bcb44d7/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
58,58,apps,1508132745,Toddler Farm Animals Puzzles,skidos.kids.animal.puzzles.games,000095,en-US,43.0,1.0,2020-07-01 16:26:47,itunes,Education,Toddler Farm Animals Puzzles,Skidos Learning,1.5,us,2020-10-14,804898.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/58/86/bf/5886bfaa-7ded-315a-5e6f-4c11f074bd57/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
59,59,apps,1513921446,SKIDOS SDK TEST 3,sdktest3.skidos.com,skidostest3.skidos.com,en-US,,,,,,,,,,,,,
60,60,apps,1513921700,SKIDOS SDK TEST 4,sdktest4.skidos.com,skidostest4.skidos.com,en-US,,,,,,,,,,,,,
61,61,apps,1514359278,NEW SKIDOS SDK TEST 3,skidos.sdktest3,000096,en-US,,,,,,,,,,,,,
63,63,apps,1517802224,Draw Tiles Logic Game,skidos.kids.drawing.logic.games,000097,en-US,,,,,,,,,,,,,
64,64,apps,1517828349,Airplane Games for Kids,skidos.plane.kids.preschool.games,000098,en-US,45.0,5.0,2020-07-31 11:59:27,itunes,Education,Airplane Games for Kids,Skidos Learning,1.4,us,2021-01-26,829647.0,1.0,https://is3-ssl.mzstatic.com/image/thumb/Purple114/v4/29/0e/a1/290ea11a-64bc-fbc1-9ff5-420e3ac2e637/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
65,65,apps,1518002275,"Toddler Games: 2,3,4 Year Olds",skidos.toddler.shapes.learning.games,000099,en-US,44.0,5.0,2020-07-16 10:56:20,itunes,Education,"Toddler Games: 2,3,4 Year Olds",Skidos Learning,1.3,us,2021-01-19,816952.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple114/v4/2a/94/a7/2a94a7a8-643f-49a1-35bb-bc0ae6d1bde6/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
66,66,apps,1532204634,Fairy Tales: Kids Storybook,skidos.fairy.tales,000100,en-US,,,,,,,,,,,,,
67,67,apps,1533428175,Educational Games - For Kids,skidos.animal.forest.games,000101,en-US,46.0,2.0,2020-11-08 23:15:57,itunes,Education,Educational Games - For Kids,Skidos Learning,1.1,us,2021-02-05,917293.0,1.0,https://is5-ssl.mzstatic.com/image/thumb/Purple114/v4/74/12/46/74124640-37b5-a5e1-1239-4bc0bdbe5665/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
68,68,apps,1536944131,Multiplication Games for Kids,skidos.sea.monsters.kids,000102,en-US,47.0,7.0,2020-12-16 23:55:11,itunes,Education,Multiplication Games for Kids,Skidos Learning,1.0,us,2020-12-14,934963.0,1.0,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/87/3d/f2/873df28b-bce3-45c9-7d26-2ebf58a6faef/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
69,69,apps,1549224321,Matching Games for Kids,skidos.sorting.puzzles.kids,000103,en-US,59.0,2.0,2021-02-13 21:41:42,itunes,Education,Matching Games for Kids,Skidos Learning,1.0,us,2021-02-12,1044087.0,1.0,https://is1-ssl.mzstatic.com/image/thumb/Purple124/v4/d3/b3/8e/d3b38e30-6765-694e-8cf8-8211fdd71031/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
70,70,apps,1550949952,"Building Games for Kids 3,4,5+",skidos.construction.car.train.kids,000106,en-US,,,,,,,,,,,,,
71,71,apps,1551104363,Toddler Shapes Game: Learning,skidos.toddler.smart.shapes,000107,en-US,62.0,0.0,2021-04-08 09:17:42,itunes,Education,Toddler Shapes Game: Learning,Skidos Learning,2.0,us,2021-03-09,1378916.0,1.0,https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/65/4d/f0/654df041-83ad-ea25-bd76-fa79c6ddded5/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
72,72,apps,1551104516,Matching Puzzles for Kids 3+,skidos.fairy.baby.bocks.game,000108,en-US,63.0,0.0,2021-04-08 10:03:18,itunes,Education,Matching Puzzles for Kids 3+,Skidos Learning,1.0,us,2021-03-29,1378925.0,1.0,https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/a8/4a/fa/a84afa25-faf5-24a7-d5ea-7e781cb6a20c/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
73,73,apps,1551104686,Kids Building & Learning Games,skidos.construction.set.kids,000109,en-US,61.0,0.0,2021-04-08 09:17:40,itunes,Education,Kids Building & Learning Games,Skidos Learning,1.0,us,2021-03-31,1378915.0,1.0,https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/ff/e1/20/ffe120d2-53fa-5c7c-c52a-20dead022fa8/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
74,74,apps,733707729,"Milk Hunt: Fun Kids Math Learning Game for Grade 1 to 5 to Practice Addition, Subtraction, Multiplication, Division, Fractions & Decimals!",skidos.milkhunt,0001,en-US,,,,,,,,,,,,,
75,75,apps,906245761,Math Learning Games: For Kids,skidos.milkhuntgame,0002,en-US,15.0,154.0,2020-05-29 12:19:28,itunes,Education,Math Learning Games: For Kids,Skidos Learning,5.0,us,2020-02-27,430294.0,1.0,https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/e8/13/d2/e813d266-30ae-7a26-9930-5840183af5d3/AppIcon-0-0-1x_U007emarketing-0-0-0-9-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/53x53bb.png
